time,num_affected,num_received,num_affected_and_received,avg_time_to_react
0,0,0,0,0
0.5,0,0,0,0
1.0,0,0,0,0
1.5,0,0,0,0
2.0,0,0,0,0
2.5,0,0,0,0
3.0,0,0,0,0
3.5,0,0,0,0
4.0,0,0,0,0
4.5,0,0,0,0
5.0,0,0,0,0
5.5,0,0,0,0
6.0,0,0,0,0
6.5,1,1,0,0.0
7.0,1,1,0,0.0
7.5,1,1,0,0.0
8.0,1,1,0,0.0
8.5,1,1,0,0.0
9.0,1,1,0,0.0
9.5,1,1,0,0.0
10.0,1,1,0,0.0
10.5,1,1,0,0.0
11.0,1,1,0,0.0
11.5,1,2,0,0.0
12.0,1,2,0,0.0
12.5,1,2,0,0.0
13.0,1,2,0,0.0
13.5,1,2,0,0.0
14.0,1,2,0,0.0
14.5,1,2,0,0.0
15.0,1,2,0,0.0
15.5,1,2,0,0.0
16.0,2,2,1,2.25
16.5,2,2,1,2.25
17.0,2,2,1,2.25
17.5,2,2,1,2.25
18.0,2,2,1,2.25
18.5,2,2,1,2.25
19.0,2,2,1,2.25
19.5,2,2,1,2.25
20.0,2,2,1,2.25
20.5,2,2,1,2.25
21.0,2,2,1,2.25
21.5,2,2,1,2.25
22.0,2,2,1,2.25
22.5,2,2,1,2.25
23.0,2,2,1,2.25
23.5,2,3,1,2.25
24.0,2,3,1,2.25
24.5,2,3,1,2.25
25.0,2,3,1,2.25
25.5,2,3,1,2.25
26.0,2,3,1,2.25
26.5,3,3,2,2.5
27.0,3,3,2,2.5
27.5,3,3,2,2.5
28.0,3,3,2,2.5
28.5,3,4,2,2.5
29.0,3,4,2,2.5
29.5,3,4,2,2.5
30.0,3,4,2,2.5
30.5,6,7,3,1.5833333333333333
31.0,6,7,3,1.5833333333333333
31.5,7,7,4,1.5
32.0,7,7,4,1.5
32.5,7,7,4,1.5
33.0,7,7,4,1.5
33.5,7,7,4,1.5
34.0,7,7,4,1.5
34.5,7,7,4,1.5
35.0,7,7,4,1.5
35.5,7,7,4,1.5
36.0,7,7,4,1.5
36.5,7,7,4,1.5
37.0,7,8,4,1.5
37.5,7,8,4,1.5
38.0,7,8,4,1.5
38.5,7,8,4,1.5
39.0,7,8,4,1.5
39.5,7,8,4,1.5
40.0,7,8,4,1.5
40.5,7,8,4,1.5
41.0,8,9,5,1.8125
41.5,8,9,5,1.8125
42.0,8,9,5,1.8125
42.5,8,9,5,1.8125
43.0,9,9,6,1.8333333333333333
43.5,9,9,6,1.8333333333333333
44.0,9,9,6,1.8333333333333333
44.5,9,9,6,1.8333333333333333
45.0,9,9,6,1.8333333333333333
45.5,9,9,6,1.8333333333333333
46.0,9,9,6,1.8333333333333333
46.5,9,9,6,1.8333333333333333
47.0,11,12,6,1.5
47.5,11,12,6,1.5
48.0,11,12,6,1.5
48.5,12,13,7,1.5
49.0,12,14,7,1.5
49.5,12,14,7,1.5
50.0,12,14,7,1.5
50.5,12,14,7,1.5
51.0,14,15,9,1.6071428571428572
51.5,14,15,9,1.6071428571428572
52.0,14,15,9,1.6071428571428572
52.5,15,15,10,1.6
53.0,15,15,10,1.6
53.5,15,15,10,1.6
54.0,15,15,10,1.6
54.5,15,15,10,1.6
55.0,15,15,10,1.6
55.5,15,15,10,1.6
56.0,15,15,10,1.6
56.5,15,15,10,1.6
57.0,15,15,10,1.6
57.5,15,15,10,1.6
58.0,15,15,10,1.6
58.5,15,15,10,1.6
59.0,15,15,10,1.6
59.5,15,15,10,1.6
60.0,15,15,10,1.6
60.5,15,15,10,1.6
61.0,15,15,10,1.6
61.5,15,15,10,1.6
62.0,15,15,10,1.6
62.5,15,15,10,1.6
63.0,15,15,10,1.6
63.5,15,15,10,1.6
64.0,15,16,10,1.6
64.5,15,16,10,1.6
65.0,15,16,10,1.6
65.5,15,16,10,1.6
66.0,15,16,10,1.6
66.5,15,16,10,1.6
67.0,15,16,10,1.6
67.5,16,17,11,1.71875
68.0,16,17,11,1.71875
68.5,16,17,11,1.71875
69.0,16,17,11,1.71875
69.5,16,17,11,1.71875
70.0,16,17,11,1.71875
70.5,17,17,12,1.7941176470588236
71.0,17,17,12,1.7941176470588236
71.5,17,17,12,1.7941176470588236
72.0,17,17,12,1.7941176470588236
72.5,17,17,12,1.7941176470588236
73.0,17,17,12,1.7941176470588236
73.5,17,17,12,1.7941176470588236
74.0,17,17,12,1.7941176470588236
74.5,17,17,12,1.7941176470588236
75.0,17,17,12,1.7941176470588236
75.5,17,17,12,1.7941176470588236
76.0,17,18,12,1.7941176470588236
76.5,17,18,12,1.7941176470588236
77.0,17,18,12,1.7941176470588236
77.5,17,18,12,1.7941176470588236
78.0,17,18,12,1.7941176470588236
78.5,18,19,12,1.6944444444444444
79.0,18,19,12,1.6944444444444444
79.5,18,20,12,1.6944444444444444
80.0,19,20,13,1.8157894736842106
80.5,20,20,14,1.775
81.0,21,21,14,1.6904761904761905
81.5,21,21,14,1.6904761904761905
82.0,22,22,14,1.6136363636363635
82.5,22,22,14,1.6136363636363635
83.0,22,22,14,1.6136363636363635
83.5,22,22,14,1.6136363636363635
84.0,22,22,14,1.6136363636363635
84.5,22,22,14,1.6136363636363635
85.0,22,22,14,1.6136363636363635
85.5,22,22,14,1.6136363636363635
86.0,22,22,14,1.6136363636363635
86.5,22,22,14,1.6136363636363635
87.0,22,23,14,1.6136363636363635
87.5,22,23,14,1.6136363636363635
88.0,22,23,14,1.6136363636363635
88.5,22,23,14,1.6136363636363635
89.0,22,23,14,1.6136363636363635
89.5,22,23,14,1.6136363636363635
90.0,22,23,14,1.6136363636363635
90.5,22,23,14,1.6136363636363635
91.0,22,23,14,1.6136363636363635
91.5,22,23,14,1.6136363636363635
92.0,22,23,14,1.6136363636363635
92.5,23,24,15,1.7826086956521738
93.0,23,24,15,1.7826086956521738
93.5,23,25,15,1.7826086956521738
94.0,23,25,15,1.7826086956521738
94.5,24,26,15,1.7083333333333333
95.0,24,26,15,1.7083333333333333
95.5,24,26,15,1.7083333333333333
96.0,24,26,15,1.7083333333333333
96.5,24,26,15,1.7083333333333333
97.0,25,27,16,1.82
97.5,26,28,16,1.75
98.0,27,29,17,1.8518518518518519
98.5,27,29,17,1.8518518518518519
99.0,28,29,18,1.8571428571428572
99.5,28,29,18,1.8571428571428572
