time,num_affected,num_received,num_affected_and_received,avg_time_to_react
0,0,0,0,0
0.5,0,0,0,0
1.0,0,0,0,0
1.5,0,0,0,0
2.0,0,0,0,0
2.5,0,0,0,0
3.0,0,0,0,0
3.5,0,0,0,0
4.0,0,0,0,0
4.5,2,2,0,0.0
5.0,2,2,0,0.0
5.5,2,2,0,0.0
6.0,2,2,0,0.0
6.5,2,2,0,0.0
7.0,2,2,0,0.0
7.5,2,2,0,0.0
8.0,2,2,0,0.0
8.5,2,2,0,0.0
9.0,2,2,0,0.0
9.5,2,2,0,0.0
10.0,2,2,0,0.0
10.5,2,2,0,0.0
11.0,2,2,0,0.0
11.5,2,2,0,0.0
12.0,2,2,0,0.0
12.5,2,2,0,0.0
13.0,2,2,0,0.0
13.5,2,2,0,0.0
14.0,2,2,0,0.0
14.5,2,2,0,0.0
15.0,2,3,0,0.0
15.5,2,3,0,0.0
16.0,2,3,0,0.0
16.5,2,3,0,0.0
17.0,2,3,0,0.0
17.5,3,3,1,0.8333333333333334
18.0,3,3,1,0.8333333333333334
18.5,3,4,1,0.8333333333333334
19.0,3,4,1,0.8333333333333334
19.5,3,4,1,0.8333333333333334
20.0,3,4,1,0.8333333333333334
20.5,4,4,2,1.125
21.0,4,5,2,1.125
21.5,4,5,2,1.125
22.0,4,5,2,1.125
22.5,5,5,3,1.2
23.0,5,5,3,1.2
23.5,8,9,3,0.75
24.0,8,9,3,0.75
24.5,8,9,3,0.75
25.0,8,9,3,0.75
25.5,8,9,3,0.75
26.0,9,9,4,0.9444444444444444
26.5,9,10,4,0.9444444444444444
27.0,9,10,4,0.9444444444444444
27.5,9,10,4,0.9444444444444444
28.0,9,10,4,0.9444444444444444
28.5,9,10,4,0.9444444444444444
29.0,9,10,4,0.9444444444444444
29.5,9,10,4,0.9444444444444444
30.0,9,10,4,0.9444444444444444
30.5,9,10,4,0.9444444444444444
31.0,9,10,4,0.9444444444444444
31.5,9,10,4,0.9444444444444444
32.0,10,11,5,1.4
32.5,10,12,5,1.4
33.0,10,12,5,1.4
33.5,10,12,5,1.4
34.0,10,12,5,1.4
34.5,11,12,6,1.4545454545454546
35.0,12,12,7,1.5833333333333333
35.5,13,13,7,1.4615384615384615
36.0,13,13,7,1.4615384615384615
36.5,13,13,7,1.4615384615384615
37.0,13,13,7,1.4615384615384615
37.5,15,15,7,1.2666666666666666
38.0,15,15,7,1.2666666666666666
38.5,15,15,7,1.2666666666666666
39.0,15,15,7,1.2666666666666666
39.5,15,15,7,1.2666666666666666
40.0,15,15,7,1.2666666666666666
40.5,15,15,7,1.2666666666666666
41.0,15,15,7,1.2666666666666666
41.5,15,15,7,1.2666666666666666
42.0,15,15,7,1.2666666666666666
42.5,16,16,7,1.1875
43.0,16,16,7,1.1875
43.5,16,16,7,1.1875
44.0,16,16,7,1.1875
44.5,16,16,7,1.1875
45.0,16,16,7,1.1875
45.5,16,16,7,1.1875
46.0,16,16,7,1.1875
46.5,16,16,7,1.1875
47.0,16,16,7,1.1875
47.5,16,16,7,1.1875
48.0,17,18,7,1.1176470588235294
48.5,17,18,7,1.1176470588235294
49.0,17,18,7,1.1176470588235294
49.5,17,19,7,1.1176470588235294
50.0,18,20,8,1.1666666666666667
50.5,18,20,8,1.1666666666666667
51.0,18,20,8,1.1666666666666667
51.5,19,21,9,1.1842105263157894
52.0,20,21,10,1.25
52.5,21,21,11,1.2380952380952381
53.0,21,22,11,1.2380952380952381
53.5,21,22,11,1.2380952380952381
54.0,21,22,11,1.2380952380952381
54.5,21,22,11,1.2380952380952381
55.0,21,22,11,1.2380952380952381
55.5,22,22,12,1.2954545454545454
56.0,22,23,12,1.2954545454545454
56.5,22,23,12,1.2954545454545454
57.0,22,24,12,1.2954545454545454
57.5,22,24,12,1.2954545454545454
58.0,22,24,12,1.2954545454545454
58.5,23,24,13,1.3478260869565217
59.0,24,26,13,1.2916666666666667
59.5,25,26,14,1.34
60.0,25,26,14,1.34
60.5,26,26,15,1.3461538461538463
61.0,26,26,15,1.3461538461538463
61.5,26,26,15,1.3461538461538463
62.0,26,26,15,1.3461538461538463
62.5,26,26,15,1.3461538461538463
63.0,26,26,15,1.3461538461538463
63.5,26,26,15,1.3461538461538463
64.0,26,26,15,1.3461538461538463
64.5,26,26,15,1.3461538461538463
65.0,26,27,15,1.3461538461538463
65.5,26,27,15,1.3461538461538463
66.0,26,27,15,1.3461538461538463
66.5,26,27,15,1.3461538461538463
67.0,26,27,15,1.3461538461538463
67.5,27,28,16,1.3888888888888888
68.0,28,29,17,1.3571428571428572
68.5,29,29,18,1.3275862068965518
69.0,29,29,18,1.3275862068965518
69.5,30,31,18,1.2833333333333334
70.0,30,31,18,1.2833333333333334
70.5,30,31,18,1.2833333333333334
71.0,32,32,19,1.25
71.5,32,32,19,1.25
72.0,32,32,19,1.25
72.5,32,33,19,1.25
73.0,32,33,19,1.25
73.5,32,33,19,1.25
74.0,32,33,19,1.25
74.5,32,33,19,1.25
75.0,33,34,20,1.2878787878787878
75.5,33,34,20,1.2878787878787878
76.0,34,34,21,1.2794117647058822
76.5,34,34,21,1.2794117647058822
77.0,34,34,21,1.2794117647058822
77.5,34,34,21,1.2794117647058822
78.0,34,34,21,1.2794117647058822
78.5,34,34,21,1.2794117647058822
79.0,34,34,21,1.2794117647058822
79.5,34,34,21,1.2794117647058822
80.0,34,35,21,1.2794117647058822
80.5,34,35,21,1.2794117647058822
81.0,34,35,21,1.2794117647058822
81.5,35,36,22,1.2857142857142858
82.0,35,37,22,1.2857142857142858
82.5,36,37,23,1.2777777777777777
83.0,36,37,23,1.2777777777777777
83.5,36,37,23,1.2777777777777777
84.0,37,37,24,1.2972972972972974
84.5,37,37,24,1.2972972972972974
85.0,37,37,24,1.2972972972972974
85.5,37,37,24,1.2972972972972974
86.0,37,37,24,1.2972972972972974
86.5,37,37,24,1.2972972972972974
87.0,37,37,24,1.2972972972972974
87.5,37,37,24,1.2972972972972974
88.0,37,37,24,1.2972972972972974
88.5,37,37,24,1.2972972972972974
89.0,37,37,24,1.2972972972972974
89.5,37,37,24,1.2972972972972974
90.0,37,37,24,1.2972972972972974
90.5,37,37,24,1.2972972972972974
91.0,37,37,24,1.2972972972972974
91.5,38,38,24,1.263157894736842
92.0,39,40,24,1.2307692307692308
92.5,39,40,24,1.2307692307692308
93.0,39,41,24,1.2307692307692308
93.5,39,41,24,1.2307692307692308
94.0,39,41,24,1.2307692307692308
94.5,39,41,24,1.2307692307692308
95.0,40,42,25,1.275
95.5,41,42,26,1.2560975609756098
96.0,42,42,27,1.2976190476190477
96.5,42,42,27,1.2976190476190477
97.0,42,43,27,1.2976190476190477
97.5,42,43,27,1.2976190476190477
98.0,42,44,27,1.2976190476190477
98.5,43,44,28,1.302325581395349
99.0,43,44,28,1.302325581395349
99.5,43,45,28,1.302325581395349
