1;i01i00,i00i10,i10i11,i11i12,i12i22,i22i32,i32i42,i42i52,i52i62,i62i61,i61i60,i60i70,i70i71,i71i72,i72i73,i73i74,i74i75,i75i65,i65i64
2;i25i15,i15i05,i05i04,i04i03,i03i02,i02i12,i12i13,i13i03,i03i02,i02i01,i01i00,i00i10,i10i20,i20i30,i30i40,i40i50,i50i51,i51i41,i41i40
3;i54i55,i55i45,i45i35,i35i36,i36i37,i37i27,i27i26,i26i36,i36i37,i37i27,i27i17,i17i07,i07i06,i06i16,i16i17,i17i07,i07i06,i06i05,i05i04
4;i40i50,i50i60,i60i70,i70i71,i71i72,i72i73,i73i74,i74i75,i75i76,i76i77,i77i67,i67i57,i57i47,i47i37,i37i27,i27i17,i17i07,i07i06,i06i05
5;i42i41,i41i40,i40i50,i50i60,i60i70,i70i71,i71i72,i72i73,i73i63,i63i62,i62i72,i72i73,i73i63,i63i53,i53i43,i43i42,i42i52,i52i53,i53i54
6;i45i35,i35i25,i25i24,i24i23,i23i22,i22i21,i21i11,i11i01,i01i00,i00i10,i10i20,i20i30,i30i40,i40i50,i50i51,i51i41,i41i31,i31i21,i21i20
7;i54i55,i55i45,i45i35,i35i25,i25i24,i24i34,i34i35,i35i25,i25i15,i15i16,i16i17,i17i07,i07i06,i06i16,i16i17,i17i07,i07i06,i06i16,i16i17
8;i52i62,i62i61,i61i60,i60i70,i70i71,i71i61,i61i51,i51i41,i41i40,i40i50,i50i60,i60i70,i70i71,i71i72,i72i73,i73i63,i63i62,i62i72,i72i73
9;i32i33,i33i23,i23i22,i22i21,i21i20,i20i30,i30i31,i31i21,i21i20,i20i30,i30i31,i31i21,i21i20,i20i30,i30i40,i40i50,i50i51,i51i41,i41i31
10;i55i56,i56i57,i57i47,i47i37,i37i27,i27i26,i26i25,i25i24,i24i23,i23i22,i22i32,i32i42,i42i52,i52i53,i53i43,i43i33,i33i34,i34i44,i44i54
11;i57i47,i47i37,i37i27,i27i26,i26i36,i36i37,i37i27,i27i17,i17i07,i07i06,i06i05,i05i04,i04i14,i14i24,i24i34,i34i44,i44i54,i54i55,i55i56
12;i43i42,i42i52,i52i62,i62i61,i61i60,i60i70,i70i71,i71i61,i61i60,i60i70,i70i71,i71i61,i61i60,i60i70,i70i71,i71i61,i61i60,i60i70,i70i71
13;i20i30,i30i40,i40i50,i50i51,i51i52,i52i53,i53i54,i54i55,i55i56,i56i57,i57i47,i47i46,i46i56,i56i66,i66i65,i65i55,i55i56,i56i57,i57i47
14;i76i77,i77i67,i67i66,i66i76,i76i77,i77i67,i67i66,i66i65,i65i64,i64i63,i63i53,i53i54,i54i64,i64i63,i63i53,i53i43,i43i42,i42i52,i52i62
15;i60i70,i70i71,i71i72,i72i73,i73i74,i74i75,i75i76,i76i77,i77i67,i67i66,i66i76,i76i77,i77i67,i67i66,i66i65,i65i64,i64i74,i74i75,i75i65
16;i02i12,i12i22,i22i32,i32i33,i33i34,i34i35,i35i36,i36i46,i46i56,i56i57,i57i47,i47i46,i46i56,i56i66,i66i76,i76i77,i77i67,i67i66,i66i76
17;i70i71,i71i61,i61i51,i51i52,i52i62,i62i61,i61i51,i51i41,i41i40,i40i50,i50i51,i51i41,i41i40,i40i50,i50i60,i60i70,i70i71,i71i61,i61i51
18;i37i27,i27i26,i26i25,i25i24,i24i23,i23i22,i22i32,i32i42,i42i52,i52i62,i62i72,i72i73,i73i74,i74i75,i75i76,i76i77,i77i67,i67i66,i66i65
19;i56i66,i66i76,i76i77,i77i67,i67i66,i66i65,i65i64,i64i63,i63i62,i62i72,i72i73,i73i63,i63i62,i62i61,i61i51,i51i41,i41i40,i40i50,i50i60
20;i00i10,i10i11,i11i01,i01i00,i00i10,i10i20,i20i30,i30i31,i31i21,i21i20,i20i30,i30i40,i40i50,i50i51,i51i52,i52i62,i62i72,i72i73,i73i74
21;i12i13,i13i14,i14i15,i15i05,i05i04,i04i03,i03i02,i02i12,i12i22,i22i32,i32i42,i42i52,i52i62,i62i61,i61i60,i60i70,i70i71,i71i61,i61i60
22;i45i44,i44i54,i54i64,i64i74,i74i75,i75i65,i65i55,i55i56,i56i57,i57i47,i47i37,i37i27,i27i17,i17i07,i07i06,i06i05,i05i04,i04i03,i03i02
23;i35i36,i36i46,i46i45,i45i35,i35i25,i25i24,i24i23,i23i13,i13i14,i14i24,i24i23,i23i13,i13i14,i14i15,i15i05,i05i04,i04i14,i14i24,i24i23
24;i31i21,i21i11,i11i12,i12i13,i13i03,i03i02,i02i01,i01i00,i00i10,i10i20,i20i30,i30i31,i31i32,i32i42,i42i41,i41i31,i31i21,i21i11,i11i01
25;i22i32,i32i33,i33i34,i34i44,i44i43,i43i33,i33i34,i34i35,i35i36,i36i37,i37i27,i27i26,i26i36,i36i46,i46i56,i56i57,i57i47,i47i37,i37i27
26;i47i37,i37i27,i27i17,i17i07,i07i06,i06i05,i05i04,i04i14,i14i15,i15i16,i16i26,i26i25,i25i15,i15i16,i16i26,i26i36,i36i46,i46i56,i56i57
27;i33i23,i23i22,i22i32,i32i33,i33i34,i34i35,i35i25,i25i15,i15i16,i16i26,i26i36,i36i37,i37i27,i27i26,i26i36,i36i46,i46i56,i56i66,i66i65
28;i10i20,i20i30,i30i40,i40i50,i50i51,i51i41,i41i40,i40i50,i50i51,i51i52,i52i62,i62i61,i61i51,i51i41,i41i31,i31i21,i21i11,i11i12,i12i13
